OBJECTID,X,Y,DISTRICT_NUMBER,LOCATION
1,-75.03269952752014,40.090979721262435,7,Bustleton Ave & Bowler St
2,-75.17700057441235,40.038431655871015,14,Haines St & Germantown Ave
3,-74.99729537553345,40.080105840720414,8,Academy Rd & Red Lion Rd
4,-75.06324525224498,40.031488142255476,2,Harbison Ave & Levick St
5,-75.14365339032659,40.044501983378055,35,N Broad St & Champlost St
6,-75.06324525224498,40.031488142255476,15,Harbison Ave & Levick St
7,-75.22439891562446,40.040199371399325,5,Ridge Ave & Cinnaminson St
8,-75.16425488717631,40.01090166363061,39,22nd St & Hunting Park Ave
9,-75.12249496409181,40.00874032905706,25,3901 Whitaker Ave
10,-75.1624040944383,39.98078632445759,22,17th St & Montgomery Ave
11,-75.12249496409181,40.00874032905706,24,3901 Whitaker Ave
12,-75.12708186563235,39.97132290235508,26,E Girard Ave & Montgomery Ave
13,-75.24090441820327,39.97131826054204,19,61st  St & Thompson St
14,-75.20015480221159,39.96193383895758,16,39th St & Lancaster Ave
15,-75.17158585260546,39.960804835857736,9,20th St & Pennsylvania Ave
16,-75.15718780652371,39.956840632310936,6,11th St & Winter St
17,-75.23217049493992,39.95429201932039,18,55th St & Pine St
18,-75.17675550507634,39.93724421590069,17,20th St & Federal St
19,-75.16228708076622,39.933448592843376,3,11th St & Wharton St
20,-75.23434225129186,39.9255609889491,12,65th St & Woodland Ave
21,-75.1869305192937,39.92406564303928,1,24th St & Wolf St
22,-75.15235453186827,39.954541409046136,0,Police Headquarters
23,-75.1519425240289,39.94925631109591,0,Center City District
24,-75.20301991365837,39.956597629420564,0,40th & Chestnut-U-Penn
