OBJECTID,DISTRICT_NUMBER,LOCATION,zipcode
1,7,Bustleton Ave & Bowler St,19115
2,14,Haines St & Germantown Ave,19144
3,8,Academy Rd & Red Lion Rd,19114
4,2,Harbison Ave & Levick St,19149
5,35,N Broad St & Champlost St,19141
6,15,Harbison Ave & Levick St,19149
7,5,Ridge Ave & Cinnaminson St,19128
8,39,22nd St & Hunting Park Ave,19140
9,25,3901 Whitaker Ave,19134
10,22,17th St & Montgomery Ave,19121
11,24,3901 Whitaker Ave,19134
12,26,E Girard Ave & Montgomery Ave,19125
13,19,61st  St & Thompson St,19151
14,16,39th St & Lancaster Ave,19104
15,9,20th St & Pennsylvania Ave,19130
16,6,11th St & Winter St,19105
17,18,55th St & Pine St,19143
18,17,20th St & Federal St,19146
19,3,11th St & Wharton St,19147
20,12,65th St & Woodland Ave,19142
21,1,24th St & Wolf St,19145
22,0,Police Headquarters,19103
23,0,Center City District,19106
24,0,40th & Chestnut-U-Penn,19104
